,attraction_urls
44,https://www.tripadvisor.in/Attraction_Review-g297586-d1218546-Reviews-Ocean_Park_India-Hyderabad_Hyderabad_District_Telangana.html
45,https://www.tripadvisor.in/Attraction_Review-g297586-d3705691-Reviews-Paigah_Tombs-Hyderabad_Hyderabad_District_Telangana.html
46,https://www.tripadvisor.in/Attraction_Review-g297586-d5782243-Reviews-Rajiv_Gandhi_International_Cricket_Stadium-Hyderabad_Hyderabad_District_Telangana.html
47,https://www.tripadvisor.in/Attraction_Review-g297586-d8043403-Reviews-Karmanghat_Hanuman_Temple-Hyderabad_Hyderabad_District_Telangana.html
48,https://www.tripadvisor.in/Attraction_Review-g297586-d3317525-Reviews-Nizam_Museum-Hyderabad_Hyderabad_District_Telangana.html
49,https://www.tripadvisor.in/Attraction_Review-g297586-d3705101-Reviews-Lotus_Pond-Hyderabad_Hyderabad_District_Telangana.html
50,https://www.tripadvisor.in/Attraction_Review-g297586-d3727140-Reviews-Sanjeeviah_Park-Hyderabad_Hyderabad_District_Telangana.html
51,https://www.tripadvisor.in/Attraction_Review-g297586-d6501045-Reviews-Mallikarjun_Temple-Hyderabad_Hyderabad_District_Telangana.html
52,https://www.tripadvisor.in/Attraction_Review-g297586-d13946585-Reviews-Next_Galleria_Mall-Hyderabad_Hyderabad_District_Telangana.html
53,https://www.tripadvisor.in/Attraction_Review-g297586-d4242946-Reviews-Pochampalli-Hyderabad_Hyderabad_District_Telangana.html
54,https://www.tripadvisor.in/Attraction_Review-g297586-d1226097-Reviews-Hyderabad_Botanical_Gardens-Hyderabad_Hyderabad_District_Telangana.html
55,https://www.tripadvisor.in/Attraction_Review-g297586-d8817882-Reviews-Sri_Lakshmi_Narasimha_Swamy_Temple-Hyderabad_Hyderabad_District_Telangana.html
56,https://www.tripadvisor.in/Attraction_Review-g297586-d9719074-Reviews-Ratnalayam_Temple-Hyderabad_Hyderabad_District_Telangana.html
57,https://www.tripadvisor.in/Attraction_Review-g297586-d16673882-Reviews-IKEA-Hyderabad_Hyderabad_District_Telangana.html
58,https://www.tripadvisor.in/Attraction_Review-g297586-d1220223-Reviews-Mount_Opera_Multi_Theme_Park_Resort-Hyderabad_Hyderabad_District_Telangana.html
59,https://www.tripadvisor.in/Attraction_Review-g297586-d10843841-Reviews-Divya_Saketam-Hyderabad_Hyderabad_District_Telangana.html
60,https://www.tripadvisor.in/Attraction_Review-g297586-d5792076-Reviews-Osmania_University-Hyderabad_Hyderabad_District_Telangana.html
61,https://www.tripadvisor.in/Attraction_Review-g297586-d18856705-Reviews-Sarath_City_Capital_Mall-Hyderabad_Hyderabad_District_Telangana.html
62,https://www.tripadvisor.in/Attraction_Review-g297586-d4082024-Reviews-Leo_Splash-Hyderabad_Hyderabad_District_Telangana.html
63,https://www.tripadvisor.in/Attraction_Review-g297586-d4421779-Reviews-Secunderabad_Clock_Tower-Hyderabad_Hyderabad_District_Telangana.html
64,https://www.tripadvisor.in/Attraction_Review-g297586-d2357953-Reviews-Gandipet_Lake-Hyderabad_Hyderabad_District_Telangana.html
65,https://www.tripadvisor.in/Attraction_Review-g297586-d3681562-Reviews-Sanjeevaiah_Park-Hyderabad_Hyderabad_District_Telangana.html
66,https://www.tripadvisor.in/Attraction_Review-g297586-d10716543-Reviews-Hyderabad_Central_Mall-Hyderabad_Hyderabad_District_Telangana.html
67,https://www.tripadvisor.in/Attraction_Review-g297586-d3207920-Reviews-Indira_Park-Hyderabad_Hyderabad_District_Telangana.html
68,https://www.tripadvisor.in/Attraction_Review-g297586-d3913079-Reviews-Himayat_Sagar_Lake-Hyderabad_Hyderabad_District_Telangana.html
69,https://www.tripadvisor.in/Attraction_Review-g297586-d13347728-Reviews-L_T_Metro_Rail-Hyderabad_Hyderabad_District_Telangana.html
70,https://www.tripadvisor.in/Attraction_Review-g297586-d3913089-Reviews-St_Josephs_Cathedral-Hyderabad_Hyderabad_District_Telangana.html
71,https://www.tripadvisor.in/Attraction_Review-g297586-d6041281-Reviews-City_Centre_Mall-Hyderabad_Hyderabad_District_Telangana.html
72,https://www.tripadvisor.in/Attraction_Review-g297586-d6974309-Reviews-Manjeera_Trinity_Mall-Hyderabad_Hyderabad_District_Telangana.html
73,https://www.tripadvisor.in/Attraction_Review-g297586-d10262143-Reviews-Srinidhi_Joy_N_Joy_Resorts-Hyderabad_Hyderabad_District_Telangana.html
74,https://www.tripadvisor.in/Attraction_Review-g297586-d5792074-Reviews-G_M_C_Balayogi_Athletic_Stadium-Hyderabad_Hyderabad_District_Telangana.html
75,https://www.tripadvisor.in/Attraction_Review-g297586-d6496162-Reviews-Gandi_Maisamma_Temple-Hyderabad_Hyderabad_District_Telangana.html
76,https://www.tripadvisor.in/Attraction_Review-g297586-d8660617-Reviews-D_G_S_Melkote_Park-Hyderabad_Hyderabad_District_Telangana.html
77,https://www.tripadvisor.in/Attraction_Review-g297586-d15052437-Reviews-Pala_Pitta_Cycling_Park-Hyderabad_Hyderabad_District_Telangana.html
78,https://www.tripadvisor.in/Attraction_Review-g297586-d3928800-Reviews-Public_Gardens_Bagh_e_aam-Hyderabad_Hyderabad_District_Telangana.html
79,https://www.tripadvisor.in/Attraction_Review-g297586-d3812532-Reviews-Laser_Shooter-Hyderabad_Hyderabad_District_Telangana.html
80,https://www.tripadvisor.in/Attraction_Review-g297586-d10365440-Reviews-SLN_Terminus-Hyderabad_Hyderabad_District_Telangana.html
81,https://www.tripadvisor.in/Attraction_Review-g297586-d13005135-Reviews-Maheswarar_Maha_Pyramid-Hyderabad_Hyderabad_District_Telangana.html
82,https://www.tripadvisor.in/Attraction_Review-g297586-d10118539-Reviews-Priyadarshini_Park-Hyderabad_Hyderabad_District_Telangana.html
83,https://www.tripadvisor.in/Attraction_Review-g297586-d4037835-Reviews-Badshahi_Ashurkhana-Hyderabad_Hyderabad_District_Telangana.html
84,https://www.tripadvisor.in/Attraction_Review-g297586-d6501031-Reviews-Hebron_Church-Hyderabad_Hyderabad_District_Telangana.html
85,https://www.tripadvisor.in/Attraction_Review-g297586-d13998088-Reviews-Wild_Waters-Hyderabad_Hyderabad_District_Telangana.html
86,https://www.tripadvisor.in/Attraction_Review-g297586-d6500957-Reviews-KLN_Yadav_Park-Hyderabad_Hyderabad_District_Telangana.html
87,https://www.tripadvisor.in/Attraction_Review-g297586-d3705608-Reviews-Krishna_Kanth_Park-Hyderabad_Hyderabad_District_Telangana.html
88,https://www.tripadvisor.in/Attraction_Review-g297586-d6041275-Reviews-The_Chennai_Shopping_Mall-Hyderabad_Hyderabad_District_Telangana.html
89,https://www.tripadvisor.in/Attraction_Review-g297586-d9564801-Reviews-Lamakaan-Hyderabad_Hyderabad_District_Telangana.html
90,https://www.tripadvisor.in/Attraction_Review-g297586-d3705009-Reviews-Mahavir_Harina_Vanasthali_National_Park-Hyderabad_Hyderabad_District_Telangana.html
91,https://www.tripadvisor.in/Attraction_Review-g297586-d2542488-Reviews-Purani_Haveli-Hyderabad_Hyderabad_District_Telangana.html
92,https://www.tripadvisor.in/Attraction_Review-g297586-d12183786-Reviews-Cinepolis_Mantra_Mall-Hyderabad_Hyderabad_District_Telangana.html
93,https://www.tripadvisor.in/Attraction_Review-g297586-d3207748-Reviews-Hussain_Shah_Wali_Dargah-Hyderabad_Hyderabad_District_Telangana.html
94,https://www.tripadvisor.in/Attraction_Review-g297586-d6496171-Reviews-Kailasagiri_Temple-Hyderabad_Hyderabad_District_Telangana.html
95,https://www.tripadvisor.in/Attraction_Review-g297586-d10062214-Reviews-British_Residency-Hyderabad_Hyderabad_District_Telangana.html
