,attraction_urls
41,https://www.tripadvisor.in/Attraction_Review-g297684-d23032828-Reviews-The_Creators_Cricket_Club_Ground-Lucknow_Lucknow_District_Uttar_Pradesh.html
42,https://www.tripadvisor.in/Attraction_Review-g297684-d12634544-Reviews-Lucknow-Lucknow_Lucknow_District_Uttar_Pradesh.html
43,https://www.tripadvisor.in/Attraction_Review-g297684-d6496398-Reviews-East_End_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
44,https://www.tripadvisor.in/Attraction_Review-g297684-d5782299-Reviews-Christ_Church-Lucknow_Lucknow_District_Uttar_Pradesh.html
45,https://www.tripadvisor.in/Attraction_Review-g297684-d10837247-Reviews-Dream_World_Amusement_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
46,https://www.tripadvisor.in/Attraction_Review-g297684-d9809937-Reviews-Hussainabad_Picture_Gallery-Lucknow_Lucknow_District_Uttar_Pradesh.html
47,https://www.tripadvisor.in/Attraction_Review-g297684-d2711415-Reviews-Colvin_Taluqdars_College-Lucknow_Lucknow_District_Uttar_Pradesh.html
48,https://www.tripadvisor.in/Attraction_Review-g297684-d15264535-Reviews-The_Residency-Lucknow_Lucknow_District_Uttar_Pradesh.html
49,https://www.tripadvisor.in/Attraction_Review-g297684-d325086-Reviews-Chattar_Manzil-Lucknow_Lucknow_District_Uttar_Pradesh.html
50,https://www.tripadvisor.in/Attraction_Review-g297684-d12736446-Reviews-One_Awadh_Center-Lucknow_Lucknow_District_Uttar_Pradesh.html
51,https://www.tripadvisor.in/Attraction_Review-g297684-d10458977-Reviews-Dream_World_Water_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
52,https://www.tripadvisor.in/Attraction_Review-g297684-d5782295-Reviews-Victoria_Memorial-Lucknow_Lucknow_District_Uttar_Pradesh.html
53,https://www.tripadvisor.in/Attraction_Review-g297684-d3913360-Reviews-Aurangzeb_s_Mosque-Lucknow_Lucknow_District_Uttar_Pradesh.html
54,https://www.tripadvisor.in/Attraction_Review-g297684-d13217169-Reviews-Budheshwar_Mahadev_Temple-Lucknow_Lucknow_District_Uttar_Pradesh.html
55,https://www.tripadvisor.in/Attraction_Review-g297684-d8678331-Reviews-Ganga_Aquarium-Lucknow_Lucknow_District_Uttar_Pradesh.html
56,https://www.tripadvisor.in/Attraction_Review-g297684-d4088683-Reviews-Shaheed_Smarak-Lucknow_Lucknow_District_Uttar_Pradesh.html
57,https://www.tripadvisor.in/Attraction_Review-g297684-d23996667-Reviews-Opulence_Perfumery-Lucknow_Lucknow_District_Uttar_Pradesh.html
58,https://www.tripadvisor.in/Attraction_Review-g297684-d16700618-Reviews-Musa_Bagh-Lucknow_Lucknow_District_Uttar_Pradesh.html
59,https://www.tripadvisor.in/Attraction_Review-g297684-d10862934-Reviews-Dream_World_Amusement_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
60,https://www.tripadvisor.in/Attraction_Review-g297684-d5788055-Reviews-Nawabganj_Wildlife_Sanctuary-Lucknow_Lucknow_District_Uttar_Pradesh.html
61,https://www.tripadvisor.in/Attraction_Review-g297684-d2711418-Reviews-Crocodile_Nursery-Lucknow_Lucknow_District_Uttar_Pradesh.html
62,https://www.tripadvisor.in/Attraction_Review-g297684-d3913120-Reviews-State_Museum-Lucknow_Lucknow_District_Uttar_Pradesh.html
63,https://www.tripadvisor.in/Attraction_Review-g297684-d15034115-Reviews-Regional_Science_City-Lucknow_Lucknow_District_Uttar_Pradesh.html
64,https://www.tripadvisor.in/Attraction_Review-g297684-d321253-Reviews-Main_Ghat-Lucknow_Lucknow_District_Uttar_Pradesh.html
65,https://www.tripadvisor.in/Attraction_Review-g297684-d5782300-Reviews-Butler_Palace-Lucknow_Lucknow_District_Uttar_Pradesh.html
66,https://www.tripadvisor.in/Attraction_Review-g297684-d6041473-Reviews-Vishal_Shopping_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
67,https://www.tripadvisor.in/Attraction_Review-g297684-d12284097-Reviews-Habibullah_Estate-Lucknow_Lucknow_District_Uttar_Pradesh.html
68,https://www.tripadvisor.in/Attraction_Review-g297684-d5782301-Reviews-Bibiyapur_Kothi-Lucknow_Lucknow_District_Uttar_Pradesh.html
