,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Cottage_Emporium,HimalayaCycle,5.0 of 5 bubbles,Aug 2019 • Friends,Great shop for shawls and carpets,Have bought several carpets from this shop over the years. The owner Rafiq knows about each and every carpet he owns. Also great for shawls and the shop sells many different types and qualities. Great place.
1,Cottage_Emporium,YK1963,4.0 of 5 bubbles,Jun 2019 • Couples,Shoppen in Leh,After our two weeks motor trip we finally had time to do some shopping. We were glad to come across the shop of mr. Rafi Wangnoo. Beautiful shawls and tapestries.... 
