,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
1,Din_Brothers_Jewellers,GGoa,5.0 of 5 bubbles,Jun 2022 • Solo,Quality and First Class Service,If you are looking for exquisite quality pieces of jewellery or beautiful genuine pashminas look no further.  Having shopped at Din Brothers Jewellers on several occasions I have no hesitation in recommending this family enterprise.  Furthermore the service and attention received from the owner - Zubair Shah - is second to none and certainly enhances your shopping experience.
2,Din_Brothers_Jewellers,Becky W,5.0 of 5 bubbles,Nov 2021 • Friends,Amazing,Received some beautiful and unique jewellery from the din brothers! They are always so helpful and not pushy at all to make you buy. They really can't do enough for you! Thank you!
3,Din_Brothers_Jewellers,Catherine1802,5.0 of 5 bubbles,Jul 2022 • Couples,Couple,We have known Zubair and his family for many years and have bought some beautiful jewellery from his shop. The customer service from Din Brothers is first class and we would recommend anybody to spend time looking at their shops.
4,Din_Brothers_Jewellers,BEGOÑA F,5.0 of 5 bubbles,Dec 2021 • Couples,Lovely ladakhi jewelley,Excellent service. Very nice ladhaki jewellery and pashminas . Very good customer service. Many years ago I visited Ladakh and bought a Ladhaki necklace. Recently I found the shop card and made contact. I placed an order from Spain and I received my items perfecto.
5,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Dec 2021 • Couples,Best jewellery and quality Pashminas,Thank you for your comment and it is nice to do business with you again. 
6,Din_Brothers_Jewellers,Cath K,5.0 of 5 bubbles,Jul 2022 • Couples,What a Gem of a Shop,Thank you for your comment and it is nice to do business with you again. 
7,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Jan 2022 • Couples,Excellent Experience,The quality of the Jewellery and the Pashminas is excellent. Bought some quality items and presents.
8,Din_Brothers_Jewellers,Julie S,5.0 of 5 bubbles,Aug 2021 • Couples,"We have visited Zubair (Din Brothers Shop’s) over many many years. They are excellent, and very honest & always friendly",Thanks for sharing your review. Hope to see you again.
9,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Jul 2022 • Business,Excellent handicraft shop,Thanks for sharing your review. Hope to see you again.
10,Din_Brothers_Jewellers,Steve S,,,,"The warm welcome given by Zubair and his team, so friendly and not pushy to buy , you are free just to browse. I have known the family for over 15 years now  during our stay in Cavellosim. I have purchased many pieces of Jewellery, the latest a diamond solitaire ring, made to my specifications.The valuation back home exceeded my expectations. I have also purchased many Pashmina shawls, for myself and for birthday and xmas gifts. Everyone loved them, the quality superb. They will help you with anything, nothing is too much trouble for them. If they don't know they will find out for you. I recomend everyone to go in and have a browse, have a chat etc  you won't be disappointed. Highly, Highly, recomend."
11,Din_Brothers_Jewellers,Din Brothers J,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
12,Din_Brothers_Jewellers,Sally J,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
13,Din_Brothers_Jewellers,Din Brothers J,,,,"We have been visiting Din Brothers for many years.Whenever we visit them,you can browse at your leisure,if you need help the staff are very patient and will help you find what you are looking for.We have bought many gold items from Din Brothers,they have always been excellent quality and.value for money.We fully recommend this Jewellers to anyone."
14,Din_Brothers_Jewellers,Bludano,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
15,Din_Brothers_Jewellers,Din Brothers J,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
16,,,,,,"We have visited Zubair in the Din Brothers Shops over many many years, there work is excellent and we have found Zubair to be totally trustworthy, friendly and always listens to what you want or perhaps need doing to certain types of Jewellery. They pride themselves on Quality."
17,,,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
18,,,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. "
19,,,,,,"I purchased a number of nice things.  Great selection, nice people and at very reasonable prices,  I highly recommend Din brothers."
20,,,,,," Thanks for sharing your review and we hope to see you again.
"
21,,,,,," Thanks for sharing your review and we hope to see you again.
"
0,Din_Brothers_Jewellers,joyous94,5.0 of 5 bubbles,Dec 2021 • Couples,Highly recommend,"We have known Zubair and his family  Din Brothers for over 20 years and have nothing but praise for the customer service and quality of their goods. I have had numerous pieces of jewellery made for me which has been of the highest quality and superior workmanship. The pashminas I have bought are extremely warm and cosy and such good value for money. Please go visit this shop during your stay, you will not be disappointed. Highly recommended to all"
1,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Feb 2022 • Solo,Exceptionally good.,Thank you for taking the time to share this wonderful feedback.”
2,Din_Brothers_Jewellers,Clive,4.0 of 5 bubbles,Jul 2022 • Solo,Beautiful jewellers and good service,Thank you for taking the time to share this wonderful feedback.”
3,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Jul 2022 • Solo,Must visit if in ladakh,"I have had dealings each year with Din since 2013, during my visits to his shop in Cavallosum, Goa. He has always been extremely friendly and had gone out of his way to meet my requests. At one time I had a jade pendant that needed a repair. Jewellers in S.Wales, UK, had refused to consider a repair as it might have fractured. I entrusted it to Din with excellent results. Over the years I have unreservedly recommended him to others, who have been pleased his work. He has always been extremely honest and fair, and I have no doubt that his service in his new shop will continue to please. I would highly recommend him."
4,Din_Brothers_Jewellers,Rozalia,5.0 of 5 bubbles,Dec 2021 • Couples,The customer service is second to none and they are so helpful and i would recommend ay of their family run businesses.,"Thank you for taking the time to share this wonderful feedback.”

"
5,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,May 2022 • Couples,Din Brothers,"Thank you for taking the time to share this wonderful feedback.”

"
