,attraction_urls
46,https://www.tripadvisor.in/Attraction_Review-g312681-d1751660-Reviews-Cansaulim_Beach-Cansaulim_South_Goa_District_Goa.html
47,https://www.tripadvisor.in/Attraction_Review-g2531484-d2209802-Reviews-Naval_Aviation_Museum-Mormugao_North_Goa_District_Goa.html
48,https://www.tripadvisor.in/Attraction_Review-g1204880-d3140391-Reviews-Bogmalo_Beach-Vasco_da_Gama_South_Goa_District_Goa.html
49,https://www.tripadvisor.in/Attraction_Review-g816969-d4138937-Reviews-Galgibaga_Beach-Agonda_South_Goa_District_Goa.html
50,https://www.tripadvisor.in/Attraction_Review-g297606-d3705855-Reviews-Mobor_Beach-Salcette_South_Goa_District_Goa.html
51,https://www.tripadvisor.in/Attraction_Review-g1584785-d3296725-Reviews-Tropical_Spice_Plantation-Ponda_North_Goa_District_Goa.html
52,https://www.tripadvisor.in/Attraction_Review-g775971-d15617495-Reviews-Din_Brothers_Jewellers_and_Gold_Smiths-Cavelossim_South_Goa_District_Goa.html
53,https://www.tripadvisor.in/Attraction_Review-g303877-d4435595-Reviews-Divar_Island-Panjim_North_Goa_District_Goa.html
54,https://www.tripadvisor.in/Attraction_Review-g312681-d13224623-Reviews-Arossim_Beach-Cansaulim_South_Goa_District_Goa.html
55,https://www.tripadvisor.in/Attraction_Review-g11997619-d15610931-Reviews-Paul_John_Visitor_Centre_John_Distilleries-Cuncolim_South_Goa_District_Goa.html
56,https://www.tripadvisor.in/Attraction_Review-g1152662-d2616467-Reviews-Margao_Market-Margao_South_Goa_District_Goa.html
57,https://www.tripadvisor.in/Attraction_Review-g303877-d7211657-Reviews-Deltin_Jaqk-Panjim_North_Goa_District_Goa.html
58,https://www.tripadvisor.in/Attraction_Review-g15420940-d2708794-Reviews-Church_of_St_Francis_of_Assissi-Old_Goa_North_Goa_District_Goa.html
59,https://www.tripadvisor.in/Attraction_Review-g1438385-d1973470-Reviews-Mapusa_Friday_Bazaar-Mapusa_North_Goa_District_Goa.html
60,https://www.tripadvisor.in/Attraction_Review-g3136739-d8704502-Reviews-Museum_of_Goa-Saligao_Bardez_North_Goa_District_Goa.html
61,https://www.tripadvisor.in/Attraction_Review-g15420940-d320661-Reviews-St_Cajetan_s_Church-Old_Goa_North_Goa_District_Goa.html
62,https://www.tripadvisor.in/Attraction_Review-g312680-d2708777-Reviews-Chapora_Beach-Arpora_North_Goa_District_Goa.html
63,https://www.tripadvisor.in/Attraction_Review-g306993-d4138914-Reviews-Ozran_Beach-Bardez_North_Goa_District_Goa.html
64,https://www.tripadvisor.in/Attraction_Review-g297606-d1645632-Reviews-Goa_Chitra_Museum-Salcette_South_Goa_District_Goa.html
65,https://www.tripadvisor.in/Attraction_Review-g303877-d2708792-Reviews-Church_and_Monastery_of_St_Augustine-Panjim_North_Goa_District_Goa.html
66,https://www.tripadvisor.in/Attraction_Review-g1096236-d6122896-Reviews-The_Zuri_White_Sands_Casino-Varca_Salcette_South_Goa_District_Goa.html
67,https://www.tripadvisor.in/Attraction_Review-g297605-d12181101-Reviews-Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North_Goa_District_Goa.html
68,https://www.tripadvisor.in/Attraction_Review-g2037406-d4435153-Reviews-Salaulim_Dam-Sanguem_South_Goa_District_Goa.html
69,https://www.tripadvisor.in/Attraction_Review-g1092070-d10792615-Reviews-Bogmalo_Beach-Bogmalo_South_Goa_District_Goa.html
70,https://www.tripadvisor.in/Attraction_Review-g3175983-d3140384-Reviews-Palacio_do_Deao-Quepem_South_Goa_District_Goa.html
71,https://www.tripadvisor.in/Attraction_Review-g303877-d9731610-Reviews-Mandovi_RIver-Panjim_North_Goa_District_Goa.html
72,https://www.tripadvisor.in/Attraction_Review-g2307943-d3912976-Reviews-Paliem_Sweet_Water_Lake-Arambol_North_Goa_District_Goa.html
73,https://www.tripadvisor.in/Attraction_Review-g297605-d6477238-Reviews-Coco_Beach-Candolim_Bardez_North_Goa_District_Goa.html
74,https://www.tripadvisor.in/Attraction_Review-g303877-d6419452-Reviews-Church_of_the_Immaculate_Conception_of_the_Virgin_Mary-Panjim_North_Goa_District_.html
75,https://www.tripadvisor.in/Attraction_Review-g1204844-d10292970-Reviews-Mall_de_Goa-Porvorim_North_Goa_District_Goa.html
76,https://www.tripadvisor.in/Attraction_Review-g303877-d1234175-Reviews-Dr_Salim_Ali_Bird_Sanctuary-Panjim_North_Goa_District_Goa.html
77,https://www.tripadvisor.in/Attraction_Review-g1127378-d3946965-Reviews-Big_Foot_Museum-Loutolim_South_Goa_District_Goa.html
78,https://www.tripadvisor.in/Attraction_Review-g303877-d3731045-Reviews-Patnem_Colomb_Beach-Panjim_North_Goa_District_Goa.html
79,https://www.tripadvisor.in/Attraction_Review-g1204844-d3915510-Reviews-Houses_of_Goa_Museum-Porvorim_North_Goa_District_Goa.html
80,https://www.tripadvisor.in/Attraction_Review-g1584785-d2625894-Reviews-Shri_Mahalasa_Temple-Ponda_North_Goa_District_Goa.html
81,https://www.tripadvisor.in/Attraction_Review-g1152662-d2711469-Reviews-Church_of_Holy_Spirit-Margao_South_Goa_District_Goa.html
82,https://www.tripadvisor.in/Attraction_Review-g297604-d320076-Reviews-Fort_Aguada_Beach-Goa.html
83,https://www.tripadvisor.in/Attraction_Review-g303877-d7854887-Reviews-Mahalaxmi_Temple-Panjim_North_Goa_District_Goa.html
84,https://www.tripadvisor.in/Attraction_Review-g2334950-d7199410-Reviews-Rahul_s_Cookery_Classes-Palolem_Canacona_South_Goa_District_Goa.html
85,https://www.tripadvisor.in/Attraction_Review-g14975378-d3202883-Reviews-Fort_Terekhol-Tiracol_North_Goa_District_Goa.html
86,https://www.tripadvisor.in/Attraction_Review-g2037406-d9712725-Reviews-Tambadi_Surla_Mahadev_Temple-Sanguem_South_Goa_District_Goa.html
87,https://www.tripadvisor.in/Attraction_Review-g303877-d484547-Reviews-Chapel_of_Our_Lady_of_the_Mount-Panjim_North_Goa_District_Goa.html
88,https://www.tripadvisor.in/Attraction_Review-g3136739-d3641500-Reviews-Mae_De_Deus_Church-Saligao_Bardez_North_Goa_District_Goa.html
89,https://www.tripadvisor.in/Attraction_Review-g306996-d3928179-Reviews-Galjibaga_Beach-Canacona_South_Goa_District_Goa.html
90,https://www.tripadvisor.in/Attraction_Review-g297604-d2060517-Reviews-Bondla_Wildlife_Sanctuary-Goa.html
91,https://www.tripadvisor.in/Attraction_Review-g1833171-d2625514-Reviews-Mahadeva_Temple-Mollem_National_Park_South_Goa_District_Goa.html
92,https://www.tripadvisor.in/Attraction_Review-g312680-d2084875-Reviews-Zaara_The_Luxury_Spa-Arpora_North_Goa_District_Goa.html
93,https://www.tripadvisor.in/Attraction_Review-g1584785-d1588452-Reviews-Mystic_Woods_by_The_Butterfly_Conservatory_Of_Goa-Ponda_North_Goa_District_Goa.html
94,https://www.tripadvisor.in/Attraction_Review-g297605-d4083655-Reviews-Hollywood_Fashion_Goa_High_Quality_bespoke_Tailoring-Candolim_Bardez_North_Goa_Di.html
95,https://www.tripadvisor.in/Attraction_Review-g306996-d4138910-Reviews-The_Mallikarjun_Temple-Canacona_South_Goa_District_Goa.html
96,https://www.tripadvisor.in/Attraction_Review-g303877-d3705221-Reviews-Rajbagh_Beach-Panjim_North_Goa_District_Goa.html
97,https://www.tripadvisor.in/Attraction_Review-g775971-d13421779-Reviews-Sandalwood_Ayurveda-Cavelossim_South_Goa_District_Goa.html
