Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Farangi_Mahal_Islamic_Centre_of_India,Tanvi,3.0 of 5 bubbles,Dec 2019 • Family,Only for people who follow islam,It is not a tourist attraction where anyone can visit . Only people who follow Islam should visit here .
Farangi_Mahal_Islamic_Centre_of_India,infojonny,3.0 of 5 bubbles,Dec 2017 • Friends,Farangi Mahal,This Farangi Mahal is not tourist attraction but it is religious place mostly muslim people visit here
Farangi_Mahal_Islamic_Centre_of_India,AmitTraveller2016,3.0 of 5 bubbles,Feb 2016 • Friends,Religious place...,Its a religious place for Islam. Its not a touristic place and mostly visited by peoples who follow Islam. Being a religious place its not a place who are looking for sum thrill or fun.
Farangi_Mahal_Islamic_Centre_of_India,DotDivx,1.0 of 5 bubbles,Feb 2014 • Solo,Religious building not for tourists,You would like to visit this place if you follow Islam. Does not have any thing attractive for the tourists and people who want to have fun.
