Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dhyan_Chand_Astroturf_Stadium,Susej B,3.0 of 5 bubbles,Jan 2018,Not a tourist attraction.,The first astro-turf pitch for hockey in Lucknow was laid here and located at The Lucknow Sports College !
Dhyan_Chand_Astroturf_Stadium,Sundeepgupta,4.0 of 5 bubbles,Mar 2016,Grand.,"This place is always full of player and sport persons. Visit this place if you love to sports, health and fitness."
Dhyan_Chand_Astroturf_Stadium,Arpit141,4.0 of 5 bubbles,Nov 2015 • Friends,Nice Visit,"Dhyan Chand Astroturf Stadium or Dhayan Chand Sports College is a field hockey stadium in Lucknow, Uttar Pradesh, India named after Indian hockey player Dhyan Chand. It serves as the home ground for Hockey India League franchise, Uttar Pradesh Wizards."
Dhyan_Chand_Astroturf_Stadium,SKBhatiya,5.0 of 5 bubbles,Oct 2015 • Friends,Good Place to see Once,"A good stadium built a little far from the city but the astroturf is of high quality, i remember there were some international hockey matches played here a few years ago..."
Dhyan_Chand_Astroturf_Stadium,abhineetsingh,4.0 of 5 bubbles,Sep 2014 • Friends,Dhyan Chand Astroturf Stadium,"Dhyan Chand Astroturf Stadium os next to Dhayan Chand Sports College on kursi road lucknow is a field hockey stadium in Lucknow I named after  hockey player Dhyan Chand. Its also home ground for Hockey India League franchise, Uttar Pradesh Wizard"
